,reward,year_month,requesterId,cohort
0,2.0,2014-06,A03162451W4B78HL2UOQF,2014-06
1,10.0,2014-06,A0589310131IJVORERSA2,2014-06
2,2.0,2014-09,A0589310131IJVORERSA2,2014-06
3,22.0,2014-11,A0589310131IJVORERSA2,2014-06
4,14.0,2014-12,A0589310131IJVORERSA2,2014-06
5,4.0,2014-06,A1008264H2SQB9,2014-06
6,2.4,2014-06,A1028WCOHNB54U,2014-06
7,1.2,2014-07,A1028WCOHNB54U,2014-06
8,12.0,2014-06,A102CP8ZOF222J,2014-06
9,17.0,2014-07,A102CP8ZOF222J,2014-06
10,4.0,2016-01,A102CP8ZOF222J,2014-06
11,140.64,2014-06,A104O444JWHST6,2014-06
12,217.0,2014-07,A104O444JWHST6,2014-06
13,20.24,2014-07,A109MB9TEQO3WI,2014-06
14,1.0,2014-06,A109T3BRS929FJ,2014-06
15,13.25,2014-07,A109T3BRS929FJ,2014-06
16,2.0,2015-02,A109T3BRS929FJ,2014-06
17,2.0,2015-09,A109T3BRS929FJ,2014-06
18,6.5,2015-10,A109T3BRS929FJ,2014-06
19,52.0,2015-11,A109T3BRS929FJ,2014-06
20,18.0,2014-06,A10AMVVXIHQJJ7,2014-06
21,27.0,2015-07,A10AMVVXIHQJJ7,2014-06
22,4.0,2015-08,A10AMVVXIHQJJ7,2014-06
23,4.0,2015-09,A10AMVVXIHQJJ7,2014-06
24,4.0,2015-12,A10AMVVXIHQJJ7,2014-06
25,4.0,2016-01,A10AMVVXIHQJJ7,2014-06
26,18.0,2016-02,A10AMVVXIHQJJ7,2014-06
27,0.51,2014-06,A10N0TQYXYZW5G,2014-06
28,0.4,2014-09,A10N0TQYXYZW5G,2014-06
29,3.0,2014-12,A10N0TQYXYZW5G,2014-06
30,2.2,2015-01,A10N0TQYXYZW5G,2014-06
31,1.66,2015-02,A10N0TQYXYZW5G,2014-06
32,0.74,2015-04,A10N0TQYXYZW5G,2014-06
33,1.0,2014-06,A10UDBP08CAYW0,2014-06
34,4.0,2014-06,A110O3ER2ROK9W,2014-06
35,598.64,2014-06,A111KAXWIKP5EC,2014-06
36,10.5,2014-08,A111KAXWIKP5EC,2014-06
37,3.5,2014-06,A112G1ABMZ4AUE,2014-06
38,3.0,2015-02,A112G1ABMZ4AUE,2014-06
39,3.0,2015-03,A112G1ABMZ4AUE,2014-06
40,1.5,2015-10,A112G1ABMZ4AUE,2014-06
41,15.68,2014-06,A1130LKUEU9M8V,2014-06
42,0.2,2014-06,A11379CWWMBMTL,2014-06
43,95.0,2014-06,A119GNVS590SKJ,2014-06
44,3.0,2014-12,A119GNVS590SKJ,2014-06
45,3.0,2015-01,A119GNVS590SKJ,2014-06
46,112.0,2014-06,A11CE7O9TY8CRJ,2014-06
47,722.4,2014-06,A11EZIJOALW5LP,2014-06
48,46.8,2014-07,A11EZIJOALW5LP,2014-06
49,1271.28,2014-11,A11EZIJOALW5LP,2014-06
50,1596.96,2015-01,A11EZIJOALW5LP,2014-06
51,1742.4,2015-03,A11EZIJOALW5LP,2014-06
52,12.24,2015-04,A11EZIJOALW5LP,2014-06
53,793.92,2015-05,A11EZIJOALW5LP,2014-06
54,2.0,2014-06,A11H8VX4U4R43U,2014-06
55,6.0,2014-08,A11H8VX4U4R43U,2014-06
